Passenger Count;Trip Distance (in miles);Fare Amount;Surcharge;Tip Amount;Total Amount;Generous ? 
1;2,4;9;0,5;2,05;12,35;Yes
5;1,39;8;0,5;0;9;No
1;3,2;12,5;0,5;1;14,8;Yes
6;0,67;10;0,5;0;11,3;No
1;3,21;14,5;0,5;3;18,8;Yes
1;0,4;54;0;0;54,3;No
2;0,82;6;0,5;0;7,3;No
2;1,02;8;0,5;1,7;11;Yes
2;2,61;12,5;0,5;5;18,8;Yes
4;0,02;2,5;0,5;0;3,8;No
5;2,77;11,5;0,5;2,4;15,2;Yes
1;3,9;14;0,5;3,62;18,92;Yes
1;2;7,5;0,5;0;8,8;No
2;2,69;10;0,5;2,62;13,92;Yes
1;0,6;13;0,5;0;14,3;No
1;1,01;5;0,5;0;6,3;No
1;1,3;6;0,5;0;7,3;No
1;0,7;5,5;0,5;0;6,8;No
1;2,5;14;0,5;3,75;18,75;Yes
1;0,3;3,5;0,5;0,95;5,75;Yes
1;1;6;0,5;0;7,3;No
1;15,83;42,5;0,5;0;49,13;No
4;18,5;0,01;0;0;5,64;No
1;9,18;34,5;0,5;0;35,8;No
1;0,72;5;0,5;0;6;No
5;1,19;5,5;0,5;0;6,8;No
1;1,2;6,5;0,5;0;7,8;No
2;12,23;35,5;0,5;10,8;47,6;Yes
1;0,6;4;0,5;0;5,3;No
1;0,79;5;0,5;0;6,3;No
1;1,8;7;0,5;0;8,3;No
2;1;7;0,5;1,65;9,95;Yes
5;0,69;7;0,5;0;8,3;No
1;20,3;52;0;0;58,13;No
1;0,32;3,5;0,5;1;5,8;Yes
1;1,55;7;0,5;0;8,3;No
2;1,5;6,5;0,5;1,55;9,35;Yes
3;2,84;13,5;0,5;0;14,5;No
1;18,3;52;0;10,4;63,2;Yes
1;0,7;5;0,5;0;6,3;No
6;3,08;11,5;0,5;0;12,8;No
1;0,63;4,5;0,5;0;5,8;No
1;9,81;28;0,5;6,77;41,1;Yes
3;9,2;33;0,5;0;34,3;No
2;2,6;14;0,5;0;15,3;No
1;2,7;9;0,5;0;10,3;No
2;6,9;65;0;13,05;78,35;Yes
3;6,14;25,5;0,5;0;26,8;No
1;0,07;4,5;0,5;0;5,8;No
1;2,4;10,5;0,5;2,35;14,15;Yes
1;5,19;17,5;0,5;0;18,8;No
6;1,02;5,5;0,5;0;6,8;No
1;1,2;7;0,5;0;8,3;No
1;3,5;11,7;0,5;1,08;14,08;Yes
1;8,24;23,5;0,5;0;24,8;No
1;2,18;11;0,5;2,3;14,6;Yes
1;6,2;20,2;0,5;5,37;26,87;Yes
3;16,5;45;0,5;0;46,3;No
6;2,37;12,5;0,5;0;13,8;No
3;3,51;16;0,5;0;17,3;No
5;8,92;36;0,5;9,12;46,42;Yes
1;4,3;14,2;0,5;1;16,5;Yes
6;11,03;32;0,5;7,57;46,2;Yes
1;7,33;26;0,5;0;27,3;No
3;0,7;5,5;0,5;0;6,8;No
1;1,37;7;0,5;0;8,3;No
1;0,9;5,5;0,5;0;6,8;No
2;1,1;6,5;0,5;0;7,8;No
1;1,97;9,5;0,5;0;10,8;No
1;0,88;6,5;0,5;1,4;9,2;Yes
2;3,5;12,5;0,5;0;13,8;No
